"meanImp" "medianImp" "minImp" "maxImp" "normHits" "decision"
"paid" -0.746730100899553 -0.878670862809094 -2.88346728700052 1.63825585963523 0 "Rejected"
"let" -0.363696142428367 -0.816211320919442 -2.07855158312943 1.63736530344943 0 "Rejected"
"trick" -0.440618075636633 -0.538913538180723 -2.19850868924743 1.63416731321386 0 "Rejected"
"dark" 0.476286829250455 0 -1.00100150250438 1.6328848998948 0 "Rejected"
"love" -0.358962108597023 -0.250144891765037 -2.00763893538132 1.63096587772615 0 "Rejected"
"suffer" -0.0538014785349507 0 -1.89409126756284 1.62534332995344 0 "Rejected"
"room" -0.374783036655484 -0.535209533921346 -2.5546161941121 1.61794319738755 0 "Rejected"
"color" -0.543876681305114 -0.66678080096954 -2.34891887177321 1.61394933868271 0 "Rejected"
"dont" -0.349479559047702 -0.346899895720278 -1.69701544469882 1.61290061060054 0 "Rejected"
"flag" 0.0137721760763885 -0.0492519743898691 -2.13275678147413 1.61179761780487 0 "Rejected"
"song" -0.0831008748941774 0.00852758803602756 -2.14943093373145 1.60908006534291 0 "Rejected"
"health" -0.104924711822215 -0.335384385392231 -2.00763256893256 1.59521601790786 0 "Rejected"
"nation" 0.254590032955883 0 -1.00100150250438 1.59477449178442 0 "Rejected"
"choos" 0.12354682073603 0 -1.00100150250438 1.59348173295224 0 "Rejected"
"crap" 0.132667294608507 0.149856560244947 -2.36363610042156 1.54212579043795 0 "Rejected"
"neighbor" 0.893804047981742 1.00100150250438 0 1.53720097598507 0 "Rejected"
"educ" -0.740163247146872 -0.835502563541122 -2.11598557397362 1.51630119335569 0 "Rejected"
"job" -0.645036295697518 -0.942971141260332 -1.73177301418162 1.51178840976273 0 "Rejected"
"forget" -0.935525199377206 -1.15691334008768 -2.1321259310589 1.51119335360464 0 "Rejected"
"show" -0.391885996986702 -0.551575773236163 -1.75020421799414 1.50534091140989 0 "Rejected"
"doubt" -0.59012548575345 -1.00350443174382 -2.06081843239872 1.49655164393683 0 "Rejected"
"bunch" -0.487751857018397 -0.642014072191926 -1.62590543102481 1.47384323491452 0 "Rejected"
"son" -0.654719129958883 -0.826104332057559 -2.3395023992678 1.45676429659858 0 "Rejected"
"black" -0.0852925870735523 0.182091185054016 -2.23087496204548 1.44437241593498 0 "Rejected"
"best" -0.233881962905301 -0.557440698848482 -1.83974715540092 1.43105072383607 0 "Rejected"
"smell" -1.03429376031745 -0.956465380760876 -2.70952338340078 1.42994133154673 0 "Rejected"
"foolish" -0.253470099971787 0 -1.41702070254096 1.41705050316284 0 "Rejected"
"iot" 0.692502138333583 1.00100150250438 -1.00100150250438 1.41705050316284 0 "Rejected"
"didnt" -0.52437901908778 -1.00100150250438 -1.73694314443173 1.41704859764641 0 "Rejected"
"forgiv" -0.112870643644406 0 -1.64647025373794 1.4170485596637 0 "Rejected"
"base" -0.258357549742968 0 -1.67696883340096 1.41704854675015 0 "Rejected"
"lay" 0.0674784997041509 0 0 1.41704849378717 0 "Rejected"
"young" -0.529069815441136 -0.694514614793579 -1.67578109185416 1.41704285613273 0 "Rejected"
"sens" -0.170487779930182 0 -1.26822018699493 1.41704254615181 0 "Rejected"
"poor" -0.887660116472687 -1.00100150250438 -2.12377436394212 1.41704249265991 0 "Rejected"
"hear" -0.629473199130061 -0.807317893052142 -2.1498834839671 1.41703432125312 0 "Rejected"
"easier" -0.65466050915916 -1.00100150250438 -2.14363383897126 1.41703357614349 0 "Rejected"
"happi" 0.0674777787519851 0 -1.00100150250438 1.41703335379169 0 "Rejected"
"check" -0.72635719450276 -0.763245371747879 -2.6827259766526 1.41703312702978 0 "Rejected"
"edit" -0.230926717245872 0 -1.64442029603652 1.41703301195849 0 "Rejected"
"slave" 0.750455955112756 1.00100150250438 -1.00100150250438 1.41703289574035 0 "Rejected"
"countri" -0.0949868440768444 0 -1.2631722349057 1.41703265980208 0 "Rejected"
"tape" -0.274748758398965 0 -2.11910716733894 1.41703265980208 0 "Rejected"
